_STATE,YEAR,CHECKUP1_pct,PERSDOC3_pct,FLUSHOT7_pct,EXERANY2_pct,CHOLCHK3_pct,state_abbr,callConfUser,emailUser,homeInternetUser,mobilePhoneUser,pcOrTabletUser,tooExpensiveMainReason,wiredHighSpeedAtHome
1.0,2019,88.99264863234274,84.50368113888722,42.11010468106943,68.50928837981049,8.495178903140795,AL,0.437618,0.884714,0.761154,0.746849,0.616907,0.047836,0.631564
2.0,2019,84.43271757123256,86.4854893985493,37.40485963036416,78.31868348342097,17.271596533271058,AK,0.476446,0.87929,0.744373,0.706474,0.590651,0.031253,0.664189
4.0,2019,86.37170346720812,91.83250321793913,39.60999863588372,75.93346733744627,11.039913761190272,AZ,0.537108,0.933339,0.795641,0.802573,0.706685,0.03861,0.718283
5.0,2019,90.14389232185549,92.55856338909678,42.08953274838123,68.76578315702785,13.999197453775613,AR,0.50006,0.891156,0.774163,0.765992,0.636694,0.053735,0.627129
6.0,2019,83.20373284469925,87.66239095305312,41.40652866311739,77.58625791778715,10.47323828523413,CA,0.53196,0.905189,0.751678,0.764695,0.661063,0.041396,0.689996
8.0,2019,83.03779674262356,89.7026310635225,46.413352725599275,81.3221208945415,12.922213541237348,CO,0.557903,0.952504,0.843252,0.81474,0.742628,0.023507,0.750278
10.0,2019,90.10492289463463,87.94864183934419,43.78036887160447,73.3781646008682,8.979316090966663,DE,0.50766,0.937624,0.744601,0.750697,0.67606,0.056653,0.742847
11.0,2019,85.14676805775578,89.46851185182616,48.38216236796283,81.01826077086976,7.390503574111262,DC,0.758491,0.947963,0.845003,0.838381,0.794477,0.037088,0.795043
12.0,2019,89.17098342812236,88.1972068555744,36.89967908460603,73.52238017984803,9.051493645611538,FL,0.513841,0.928308,0.732012,0.729388,0.655195,0.035279,0.697039
13.0,2019,88.94810853906488,85.13650683264189,36.20451984398278,72.14221510719992,9.219592174775443,GA,0.536563,0.898803,0.761662,0.770265,0.653624,0.049617,0.631949
15.0,2019,89.05441819681921,81.02951043428374,43.70475099216486,75.6295047805533,14.264679749411624,HI,0.555646,0.932901,0.805321,0.811178,0.694114,0.010627,0.778622
16.0,2019,84.7484693841423,90.75977530520578,38.15356485862665,76.23171135244097,16.998993343138107,ID,0.48114,0.911812,0.810735,0.798693,0.702058,0.037509,0.719235
17.0,2019,87.36019106184038,92.93569149848132,38.80640897302495,74.37568985473833,11.36526448058636,IL,0.503335,0.904364,0.8061,0.796664,0.709934,0.021547,0.710287
18.0,2019,88.30403524824524,91.35863335433831,42.13946840759115,69.05560495351388,13.526898014331634,IN,0.503917,0.885811,0.793722,0.774891,0.656603,0.02727,0.673552
19.0,2019,88.78059148513003,92.79866391106991,48.29874306095735,73.52835619359233,13.794475447732356,IA,0.497275,0.913832,0.79819,0.776871,0.686188,0.027167,0.657989
20.0,2019,86.8679550897314,86.81018451295166,46.15332448609993,72.8703658754277,13.38022658895379,KS,0.555052,0.895391,0.764416,0.760917,0.652346,0.04803,0.652468
21.0,2019,90.48436422137975,92.88422950667416,42.083223412546715,67.1903611457615,8.918265846889797,KY,0.491808,0.85456,0.750988,0.758203,0.617014,0.048988,0.581989
